order_id,order_date,customer_id,gross_amount,currency,status,payment_id
order_AHTXHU3L5A0002,2026-05-30,cust_L9AW7BHZVR0004,154924,INR,paid,pay_S8M8GV8NKZ0003
order_FF7EJJ6LS90005,2026-05-30,cust_RQEXBQQAED0007,158629,INR,paid,pay_3PNV1Z494H0006
order_XE8RT7PJ6R0008,2026-05-30,cust_DGD1XGRNN40010,18134,INR,paid,pay_62NGG3Y3250009
order_5RE4GDAFRL0011,2026-05-30,cust_S5U37KNUPD0013,82918,INR,paid,pay_276P1DL0A00012
order_WDD689LD8F0014,2026-05-30,cust_9WSPWRS1JV0016,377837,INR,paid,pay_MEER1HRCF20015
order_EA5GEP8SJY0017,2026-05-30,cust_GJSHGKTUPX0019,206996,INR,paid,pay_ERZUL4V9AV0018
order_87SDF3TCAX0020,2026-05-30,cust_ZK3JCVZCYP0022,803614,INR,paid,pay_JSL43AHEKC0021
order_2KRLM2BMX20023,2026-05-30,cust_YVQQBN1XTE0025,991717,INR,paid,pay_RTLG0C6QN50024
order_1XBHSMSCG30026,2026-05-30,cust_A9NZ3EXWHV0028,143437,INR,paid,pay_YW38H0NSC30027
order_W1UJN20MV10029,2026-05-30,cust_86LFU8XFRV0031,116957,INR,paid,pay_AVUP3W544P0030
order_BCR6E52N070032,2026-05-30,cust_DRH5J59W480034,559023,INR,paid,pay_1RKAG3QM950033
order_4L64SRT97R0035,2026-05-30,cust_KQ0KPE22X50037,1398970,INR,paid,pay_T4EURTXWFJ0036
order_B1BF3J5MDS0040,2026-05-31,cust_F6BDYQECBR0042,12439739,INR,paid,pay_0WP5WX0T2S0041
order_KRJ6HP5SZL0043,2026-05-31,cust_RGVHCY3ZE80045,1553035,INR,paid,pay_HLVGBV01NE0044
order_7G3Z5K3M9T0046,2026-05-31,cust_50XB7WM7PY0048,120015,INR,partially_refunded,pay_653TWRFT4R0047
order_TA9NFR27R60049,2026-05-31,cust_69Y3XY5TVS0051,240670,INR,paid,pay_74BFUQ1RVZ0050
order_WHMNP6T9UG0052,2026-05-31,cust_DUJ7GAU6640054,60384,INR,paid,pay_NUQZMVAJTC0053
order_S6HE17EDKK0055,2026-05-31,cust_V3VDGPPSFL0057,23368,INR,paid,pay_VFRH2Q90440056
order_LA246UCQUU0058,2026-05-31,cust_KEDLVU4H5V0060,29577,INR,paid,pay_5EQSN3HQKT0059
order_74FC3WSBFQ0061,2026-05-31,cust_7F6Y2XWGLX0063,10396529,INR,paid,pay_BTCM694TM30062
order_1C5FWSWH180064,2026-05-31,cust_PTJU47HBRL0066,854436,INR,paid,pay_A52DN9Z74D0065
order_2FQH5HK7U80067,2026-05-31,cust_JET2X8TAUV0069,1408155,INR,paid,pay_T266R5K0N80068
